6.3	-0.310577	-0.317642	-0.268729	-0.580746
6.36	-0.325779	-0.349833	-0.232947	-0.477318
6.42	-0.338835	-0.37559	-0.197452	-0.366612
6.48	-0.349763	-0.394545	-0.162263	-0.251261
6.54	-0.358582	-0.406497	-0.127365	-0.13421
6.6	-0.365307	-0.411426	-0.0927181	-0.0185479
6.66	-0.369953	-0.409503	-0.0582664	0.0925807
6.72	-0.37253	-0.401084	-0.0239446	0.196038
6.78	-0.373043	-0.386713	0.0103184	0.288845
6.84	-0.371494	-0.367103	0.0445962	0.368469
6.9	-0.36788	-0.343099	0.0789619	0.433222
6.96	-0.362194	-0.315614	0.113485	0.482647
7.02	-0.354425	-0.285552	0.148227	0.517725
7.08	-0.344558	-0.253718	0.183238	0.540772
7.14	-0.332576	-0.220753	0.218549	0.55505
7.2	-0.31846	-0.187086	0.254163	0.56422
7.26	-0.302194	-0.152926	0.290043	0.571771
7.32	-0.283763	-0.118292	0.326094	0.580461
7.38	-0.263162	-0.0830692	0.362136	0.591646
7.44	-0.240399	-0.0471203	0.397878	0.604312
7.5	-0.215501	-0.0104628	0.43288	0.6137
7.56	-0.188531	0.026468	0.466514	0.610042
7.62	-0.159591	0.0625165	0.497931	0.579084
7.68	-0.128845	0.0956325	0.526061	0.506374
7.74	-0.0965214	0.123045	0.549656	0.384179
7.8	-0.0629299	0.141811	0.567412	0.215903
7.86	-0.0284546	0.149478	0.578161	0.0148316
7.92	0.00645897	0.144572	0.581104	-0.199766
7.98	0.0413314	0.126889	0.576004	-0.404698
8.04	0.0756861	0.0977085	0.563243	-0.573973
8.1	0.109085	0.0598274	0.54373	-0.685395
8.16	0.141153	0.0169909	0.518696	-0.733175
8.22	0.171594	-0.0272785	0.489459	-0.731557
8.28	0.200189	-0.0705994	0.457242	-0.702268
8.34	0.226788	-0.111795	0.423073	-0.661833
8.4	0.251297	-0.15046	0.387749	-0.618761
8.46	0.273661	-0.186536	0.351851	-0.576015
8.52	0.293859	-0.220055	0.315778	-0.533727
8.58	0.311887	-0.251021	0.279789	-0.490871
8.64	0.327755	-0.279362	0.244036	-0.446131
8.7	0.34148	-0.304934	0.208595	-0.398324
8.76	0.353081	-0.327525	0.173489	-0.346598
8.82	0.362578	-0.346887	0.138704	-0.290514
8.88	0.369989	-0.362754	0.104202	-0.230059
8.94	0.375331	-0.374872	0.0699261	-0.165608
9	0.378615	-0.383018	0.0358104	-0.0978604
9.06	0.379848	-0.387018	0.00178222	-0.0277639
